Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Cluster,Price Range
Porsche,Panamera 4 E-Hybrid,2.9L Twin-Turbo V6 + Electric Motor,2894.0,462.0,280.0,4.4,113300.0,Hybrid,4,700.0,1,High (100k-200k)
Porsche,Panamera 4 Sport Turismo,2.9L Twin-Turbo V6,2894.0,325.0,265.0,5.5,101400.0,Petrol,4,450.0,0,High (100k-200k)
Porsche,Panamera Turbo S E-Hybrid Sport Turismo,4.0L Twin-Turbo V8 + Electric Motor,3996.0,690.0,315.0,3.2,200200.0,Hybrid,4,870.0,1,Luxury (>200k)
Porsche,Panamera 4S E-Hybrid Executive,2.9L Twin-Turbo V6 + Electric Motor,2894.0,560.0,295.0,3.7,128900.0,Hybrid,4,750.0,1,High (100k-200k)
Porsche,Panamera Platinum Edition,2.9L Twin-Turbo V6,2894.0,325.0,265.0,5.6,98300.0,Petrol,4,450.0,0,Medium (50k-100k)
Porsche,Panamera GTS Sport Turismo,4.0L Twin-Turbo V8,3996.0,473.0,300.0,3.9,136900.0,Petrol,4,620.0,1,High (100k-200k)
Porsche,Panamera Turbo Executive,4.0L Twin-Turbo V8,3996.0,550.0,306.0,3.8,175200.0,Petrol,4,770.0,1,High (100k-200k)
Porsche,Panamera Turbo S Exclusive Series,4.0L Twin-Turbo V8,3996.0,570.0,310.0,3.8,290000.0,Petrol,4,800.0,1,Luxury (>200k)
Porsche,Panamera 4S ,2.9L Twin-Turbo V6,2894.0,443.0,289.0,4.1,105000.0,Petrol,4,550.0,1,High (100k-200k)
Porsche,Macan Base,2.0L Turbo Inline-4,1984.0,265.0,232.0,6.4,58000.0,Petrol,5,400.0,0,Medium (50k-100k)
Porsche,Macan T,2.0L Turbo Inline-4,1984.0,265.0,233.0,6.2,63000.0,Petrol,5,400.0,0,Medium (50k-100k)
Porsche,Macan S,2.9L Twin-Turbo V6,2894.0,375.0,259.0,4.6,70400.0,Petrol,5,520.0,0,Medium (50k-100k)
Porsche,Macan GTS,2.9L Twin-Turbo V6,2894.0,434.0,272.0,4.3,82900.0,Petrol,5,550.0,0,Medium (50k-100k)
Porsche,Macan EV ,Dual Electric Motors,95.0,603.0,240.0,4.0,85000.0,Electric,5,750.0,1,Medium (50k-100k)
